Activity database,Activity code,Activity name,Activity unit,Activity type,Exchange database,Exchange input,Exchange amount,Exchange unit,Exchange type,Exchange uncertainty type,Exchange loc,Exchange scale,Exchange negative,Notes
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Bitcoin Network,1.000,Tera Hashes,production,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Miners_CN_SC,0.302,Tera Hashes,technosphere,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Miners_CN_XJ,0.271,Tera Hashes,technosphere,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Miners_CN_NM,0.081,Tera Hashes,technosphere,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Miners_CN_YN,0.095,Tera Hashes,technosphere,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Miners_CN_GS,0.029,Tera Hashes,technosphere,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Miners_CN_BJ,0.013,Tera Hashes,technosphere,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Minerst_US,0.057,Tera Hashes,technosphere,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Miners_MY,0.040,Tera Hashes,technosphere,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Minerst_IR,0.022,Tera Hashes,technosphere,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Miners_KZ,0.019,Tera Hashes,technosphere,,,,,
BTC_2019,Bitcoin Network,Bitcoin Network,Tera Hashes,process,BTC_2019,Miners_RU,0.069,Tera Hashes,technosphere,,,,,
BTC_2019,Miners_CN_SC,Miners_CN_SC,Tera Hashes,process,BTC_2019,Miners_CN_SC,77760,Tera Hashes,production,,,,,
BTC_2019,Miners_CN_SC,Miners_CN_SC,Tera Hashes,process,BTC_2019,El_production_CN_SC [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Miners_CN_SC,Miners_CN_SC,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_SC,Miners_CN_SC,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_XJ,Miners_CN_XJ,Tera Hashes,process,BTC_2019,Miners_CN_XJ,77760,Tera Hashes,production,,,,,
BTC_2019,Miners_CN_XJ,Miners_CN_XJ,Tera Hashes,process,BTC_2019,El_production_CN_XJ [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Miners_CN_XJ,Miners_CN_XJ,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_XJ,Miners_CN_XJ,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_NM,Miners_CN_NM,Tera Hashes,process,BTC_2019,Miners_CN_NM,77760,Tera Hashes,production,,,,,
BTC_2019,Miners_CN_NM,Miners_CN_NM,Tera Hashes,process,BTC_2019,El_production_CN_NM [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Miners_CN_NM,Miners_CN_NM,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_NM,Miners_CN_NM,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_YN,Miners_CN_YN,Tera Hashes,process,BTC_2019,Miners_CN_YN,77760,Tera Hashes,production,,,,,
BTC_2019,Miners_CN_YN,Miners_CN_YN,Tera Hashes,process,BTC_2019,El_production_CN_YN [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Miners_CN_YN,Miners_CN_YN,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_YN,Miners_CN_YN,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_GS,Miners_CN_GS,Tera Hashes,process,BTC_2019,Miners_CN_GS,77760,Tera Hashes,production,,,,,
BTC_2019,Miners_CN_GS,Miners_CN_GS,Tera Hashes,process,BTC_2019,El_production_CN_GS [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Miners_CN_GS,Miners_CN_GS,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_GS,Miners_CN_GS,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_BJ,Miners_CN_BJ,Tera Hashes,process,BTC_2019,Miners_CN_BJ,77760,Tera Hashes,production,,,,,
BTC_2019,Miners_CN_BJ,Miners_CN_BJ,Tera Hashes,process,BTC_2019,El_production_CN_BJ [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Miners_CN_BJ,Miners_CN_BJ,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_CN_BJ,Miners_CN_BJ,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,Minerst_US,Minerst_US,Tera Hashes,process,BTC_2019,Minerst_US,77760,Tera Hashes,production,,,,,
BTC_2019,Minerst_US,Minerst_US,Tera Hashes,process,BTC_2019,El_production_US [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Minerst_US,Minerst_US,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Minerst_US,Minerst_US,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_MY,Miners_MY,Tera Hashes,process,BTC_2019,Miners_MY,77760,Tera Hashes,production,,,,,
BTC_2019,Miners_MY,Miners_MY,Tera Hashes,process,BTC_2019,El_production_MY [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Miners_MY,Miners_MY,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_MY,Miners_MY,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,Minerst_IR,Minerst_IR,Tera Hashes,process,BTC_2019,Minerst_IR,77760,Tera Hashes,production,,,,,
BTC_2019,Minerst_IR,Minerst_IR,Tera Hashes,process,BTC_2019,El_production_IR [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Minerst_IR,Minerst_IR,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Minerst_IR,Minerst_IR,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_KZ,Miners_KZ,Tera Hashes,process,BTC_2019,Miners_KZ,77760,Tera Hashes,production,,,,,
BTC_2019,Miners_KZ,Miners_KZ,Tera Hashes,process,BTC_2019,El_production_KZ [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Miners_KZ,Miners_KZ,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_KZ,Miners_KZ,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_RU,Miners_RU,Tera Hashes,process,BTC_2019,Miners_RU,77760,Tera Hashes,production,,,,,
BTC_2019,Miners_RU,Miners_RU,Tera Hashes,process,BTC_2019,El_production_RU [Electricity],1.743,kilowatt hour,technosphere,,,,,
BTC_2019,Miners_RU,Miners_RU,Tera Hashes,process,BTC_2019,Machine production,7.61E-05,unit,technosphere,,,,,
BTC_2019,Miners_RU,Miners_RU,Tera Hashes,process,BTC_2019,EoL,-7.61E-05,unit,technosphere,,,,,
BTC_2019,El_production_CN_SC [Electricity],El_production_CN_SC [Electricity],kilowatt hour,process,BTC_2019,El_production_CN_SC [Electricity],1.00,kilowatt hour,production,,,,,
BTC_2019,El_production_CN_SC [Electricity],El_production_CN_SC [Electricity],kilowatt hour,process,ecoinvent 3.5 att,fce73267d06b8e6bd8eca8ab8c91da4c,0.20,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_SC [Electricity],El_production_CN_SC [Electricity],kilowatt hour,process,ecoinvent 3.5 att,e05a0f93abf212f568c83564a99c93cd,0.82,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_SC [Electricity],El_production_CN_SC [Electricity],kilowatt hour,process,ecoinvent 3.5 att,70d925ee8d05c2135a6ed87510ba8f4f,0.01,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_SC [Electricity],El_production_CN_SC [Electricity],kilowatt hour,process,ecoinvent 3.5 att,14b35a5c658d70e7df6c0fe3db584e59,0.00,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_SC [Electricity],El_production_CN_SC [Electricity],kilowatt hour,process,ecoinvent 3.5 att,47aa118da1b2cdff3c6430f2e8be260b,0.00,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_SC [Electricity],El_production_CN_SC [Electricity],kilowatt hour,process,ecoinvent 3.5 att,e399e4257f686e05a5d5fcfc5513270c,0.00,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_SC [Electricity],El_production_CN_SC [Electricity],kilowatt hour,process,ecoinvent 3.5 att,6299bbf6690e7b9385e69f6cca1802b0,0.00,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_SC [Electricity],El_production_CN_SC [Electricity],kilowatt hour,process,ecoinvent 3.5 att,a27079b089ca3987b1637df4190cabed,0.00,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_XJ [Electricity],El_production_CN_XJ [Electricity],kilowatt hour,process,BTC_2019,El_production_CN_XJ [Electricity],1.00,kilowatt hour,production,,,,,
BTC_2019,El_production_CN_XJ [Electricity],El_production_CN_XJ [Electricity],kilowatt hour,process,ecoinvent 3.5 att,79aac0410f6c7e1e06c7eed61d1ffc11,0.78,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_XJ [Electricity],El_production_CN_XJ [Electricity],kilowatt hour,process,ecoinvent 3.5 att,6dae37d606ac522d2fe7b14cacc94d92,0.17,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_XJ [Electricity],El_production_CN_XJ [Electricity],kilowatt hour,process,ecoinvent 3.5 att,a3812b62fadadb7887d856ccadf07b2a,0.02,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_XJ [Electricity],El_production_CN_XJ [Electricity],kilowatt hour,process,ecoinvent 3.5 att,13df92e781f5f4ff3c4e6515fbf5c9ee,0.00,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_XJ [Electricity],El_production_CN_XJ [Electricity],kilowatt hour,process,ecoinvent 3.5 att,b3cb106faa3a2c478acff458adc533dc,0.00,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_XJ [Electricity],El_production_CN_XJ [Electricity],kilowatt hour,process,ecoinvent 3.5 att,c8ae5da684ead375a3372484b7ad4e5f,0.01,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_XJ [Electricity],El_production_CN_XJ [Electricity],kilowatt hour,process,ecoinvent 3.5 att,62a5df16d973edd48c48fc61962d265f,0.02,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_XJ [Electricity],El_production_CN_XJ [Electricity],kilowatt hour,process,ecoinvent 3.5 att,ba3060c54dafc24731918412bfc24e7e,0.02,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_NM [Electricity],El_production_CN_NM [Electricity],kilowatt hour,process,BTC_2019,El_production_CN_NM [Electricity],1.00,kilowatt hour,production,,,,,
BTC_2019,El_production_CN_NM [Electricity],El_production_CN_NM [Electricity],kilowatt hour,process,ecoinvent 3.5 att,285a408d696b10836f5d399cc3f61a3b,0.88,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_NM [Electricity],El_production_CN_NM [Electricity],kilowatt hour,process,ecoinvent 3.5 att,d7c67b7f3fc7d2122dc4fd7d0cd5a559,0.01,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_NM [Electricity],El_production_CN_NM [Electricity],kilowatt hour,process,ecoinvent 3.5 att,beb10db851d1fa67804dcf594a66c330,0.02,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_NM [Electricity],El_production_CN_NM [Electricity],kilowatt hour,process,ecoinvent 3.5 att,3c3732ddd0c0da15c241e6e56e67d121,0.00,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_NM [Electricity],El_production_CN_NM [Electricity],kilowatt hour,process,ecoinvent 3.5 att,587731c9bc4bf044fb01bf8811cd82e3,0.00,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_NM [Electricity],El_production_CN_NM [Electricity],kilowatt hour,process,ecoinvent 3.5 att,885ee12dfb6cc2fd1a5b34b4066e3dbc,0.02,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_NM [Electricity],El_production_CN_NM [Electricity],kilowatt hour,process,ecoinvent 3.5 att,75569bf043f4e202b58944f073251eb7,0.04,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_NM [Electricity],El_production_CN_NM [Electricity],kilowatt hour,process,ecoinvent 3.5 att,d47ebe4490c6685761f97c17085ec674,0.05,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_YN [Electricity],El_production_CN_YN [Electricity],kilowatt hour,process,BTC_2019,El_production_CN_YN [Electricity],1.00,kilowatt hour,production,,,,,
BTC_2019,El_production_CN_YN [Electricity],El_production_CN_YN [Electricity],kilowatt hour,process,ecoinvent 3.5 att,e10bea32731e5e9d0ca8d5d9351b9992,0.15,kilowatt hour,technosphere,,,,,
BTC_2020,El_production_CN_YN [Electricity],El_production_CN_YN [Electricity],kilowatt hour,process,ecoinvent 3.5 att,9d998b3a36c43c9226dbea9b0d39299f,0.82,kilowatt hour,technosphere,,,,,
BTC_2021,El_production_CN_YN [Electricity],El_production_CN_YN [Electricity],kilowatt hour,process,ecoinvent 3.5 att,beb10db851d1fa67804dcf594a66c330,0.00,kilowatt hour,technosphere,,,,,
BTC_2022,El_production_CN_YN [Electricity],El_production_CN_YN [Electricity],kilowatt hour,process,ecoinvent 3.5 att,4e190d37d0fbb9b645c6d2068c5a906e,0.00,kilowatt hour,technosphere,,,,,
BTC_2023,El_production_CN_YN [Electricity],El_production_CN_YN [Electricity],kilowatt hour,process,ecoinvent 3.5 att,716f74d381026e40fca9dad1abf8dd7c,0.00,kilowatt hour,technosphere,,,,,
BTC_2024,El_production_CN_YN [Electricity],El_production_CN_YN [Electricity],kilowatt hour,process,ecoinvent 3.5 att,2131bc7e123c42b2763cb2fe76c9e1e6,0.00,kilowatt hour,technosphere,,,,,
BTC_2025,El_production_CN_YN [Electricity],El_production_CN_YN [Electricity],kilowatt hour,process,ecoinvent 3.5 att,3f416253bea5e1b137b3c229825ce2b9,0.01,kilowatt hour,technosphere,,,,,
BTC_2026,El_production_CN_YN [Electricity],El_production_CN_YN [Electricity],kilowatt hour,process,ecoinvent 3.5 att,08a6f54195c1d3bb8889b860afe0807d,0.01,kilowatt hour,technosphere,,,,,
BTC_2019,El_production_CN_GS [Electricity],El_production_CN_GS [Electricity],kilowatt hour,process,BTC_2019,El_production_CN_GS [Electricity],1.00,kilowatt hour,production,,,,,
BTC_2019,El_production_CN_GS [Electricity],El_production_CN_GS [Electricity],kilowatt hour,process,ecoinvent 3.5 att,17b7186b34d29f098a37375eb1645a95,0.59,kilowatt hour,technosphere,,,,,
BTC_2020,El_production_CN_GS [Electricity],El_production_CN_GS [Electricity],kilowatt hour,process,ecoinvent 3.5 att,f9f80c2e28574a5d244b785bd969c420,0.30,kilowatt hour,technosphere,,,,,
BTC_2021,El_production_CN_GS [Electricity],El_production_CN_GS [Electricity],kilowatt hour,process,ecoinvent 3.5 att,3eb0a5475f3adc2f0463aa6bda53ce5f,0.00,kilowatt hour,technosphere,,,,,
BTC_2022,El_production_CN_GS [Electricity],El_production_CN_GS [Electricity],kilowatt hour,process,ecoinvent 3.5 att,90187d83e009acfbd0d5f24163f82fec,0.02,kilowatt hour,technosphere,,,,,
BTC_2023,El_production_CN_GS [Electricity],El_production_CN_GS [Electricity],kilowatt hour,process,ecoinvent 3.5 att,20bdc2ac6b13b0734c57be73b2329c06,0.00,kilowatt hour,technosphere,,,,,
